effectiveDate,Close,Open,High,Low,Volume,NBP_Rate,NBP_No
2022-11-17,4.5387,4.5387,4.5432387,4.5341613,1000000,4.5387,222/A/NBP/2022
2022-11-18,4.5337,4.5337,4.538233699999999,4.5291663,1000000,4.5337,223/A/NBP/2022
2022-11-21,4.5991,4.5991,4.603699099999999,4.5945009,1000000,4.5991,224/A/NBP/2022
2022-11-22,4.5844,4.5844,4.588984399999999,4.5798156,1000000,4.5844,225/A/NBP/2022
2022-11-23,4.548,4.548,4.552548,4.543452,1000000,4.548,226/A/NBP/2022
2022-11-24,4.5101,4.5101,4.5146101,4.5055899,1000000,4.5101,227/A/NBP/2022
2022-11-25,4.5111,4.5111,4.515611099999999,4.5065889,1000000,4.5111,228/A/NBP/2022
2022-11-28,4.4827,4.4827,4.4871827,4.478217300000001,1000000,4.4827,229/A/NBP/2022
2022-11-29,4.5164,4.5164,4.520916399999999,4.5118836,1000000,4.5164,230/A/NBP/2022
2022-11-30,4.5066,4.5066,4.511106599999999,4.5020934,1000000,4.5066,231/A/NBP/2022
2022-12-01,4.4911,4.4911,4.4955910999999995,4.4866089,1000000,4.4911,232/A/NBP/2022
2022-12-02,4.4492,4.4492,4.4536492,4.4447508000000004,1000000,4.4492,233/A/NBP/2022
2022-12-05,4.4415,4.4415,4.445941499999999,4.437058499999999,1000000,4.4415,234/A/NBP/2022
2022-12-06,4.4787,4.4787,4.4831787,4.4742213,1000000,4.4787,235/A/NBP/2022
2022-12-07,4.4834,4.4834,4.487883399999999,4.4789166,1000000,4.4834,236/A/NBP/2022
2022-12-08,4.476,4.476,4.4804759999999995,4.471524,1000000,4.476,237/A/NBP/2022
2022-12-09,4.4351,4.4351,4.4395351,4.4306649,1000000,4.4351,238/A/NBP/2022
2022-12-12,4.4424,4.4424,4.4468423999999995,4.4379576,1000000,4.4424,239/A/NBP/2022
2022-12-13,4.4527,4.4527,4.4571527,4.4482473,1000000,4.4527,240/A/NBP/2022
2022-12-14,4.3973,4.3973,4.4016973,4.3929027000000005,1000000,4.3973,241/A/NBP/2022
2022-12-15,4.41,4.41,4.414409999999999,4.40559,1000000,4.41,242/A/NBP/2022
2022-12-16,4.4227,4.4227,4.427122699999999,4.4182773,1000000,4.4227,243/A/NBP/2022
2022-12-19,4.4153,4.4153,4.4197153,4.4108847,1000000,4.4153,244/A/NBP/2022
2022-12-20,4.4001,4.4001,4.4045001,4.3956999,1000000,4.4001,245/A/NBP/2022
2022-12-21,4.3947,4.3947,4.3990947,4.3903053000000005,1000000,4.3947,246/A/NBP/2022
2022-12-22,4.3726,4.3726,4.3769726,4.3682274,1000000,4.3726,247/A/NBP/2022
2022-12-23,4.37,4.37,4.37437,4.36563,1000000,4.37,248/A/NBP/2022
2022-12-27,4.3671,4.3671,4.371467099999999,4.3627329,1000000,4.3671,249/A/NBP/2022
2022-12-28,4.4127,4.4127,4.4171127,4.4082873000000005,1000000,4.4127,250/A/NBP/2022
2022-12-29,4.4078,4.4078,4.412207799999999,4.4033922,1000000,4.4078,251/A/NBP/2022
2022-12-30,4.4018,4.4018,4.406201799999999,4.3973982,1000000,4.4018,252/A/NBP/2022
2023-01-02,4.3811,4.3811,4.3854811,4.3767189,1000000,4.3811,001/A/NBP/2023
2023-01-03,4.4373,4.4373,4.441737299999999,4.432862699999999,1000000,4.4373,002/A/NBP/2023
2023-01-04,4.3998,4.3998,4.4041998,4.3954002,1000000,4.3998,003/A/NBP/2023
2023-01-05,4.397,4.397,4.401396999999999,4.392603,1000000,4.397,004/A/NBP/2023
2023-01-09,4.401,4.401,4.4054009999999995,4.396599,1000000,4.401,005/A/NBP/2023
2023-01-10,4.372,4.372,4.376371999999999,4.367628,1000000,4.372,006/A/NBP/2023
2023-01-11,4.3639,4.3639,4.3682639,4.3595361,1000000,4.3639,007/A/NBP/2023
2023-01-12,4.3556,4.3556,4.359955599999999,4.3512444,1000000,4.3556,008/A/NBP/2023
2023-01-13,4.3272,4.3272,4.3315272,4.322872800000001,1000000,4.3272,009/A/NBP/2023
2023-01-16,4.3436,4.3436,4.3479436,4.3392564,1000000,4.3436,010/A/NBP/2023
2023-01-17,4.3398,4.3398,4.3441398,4.3354602,1000000,4.3398,011/A/NBP/2023
2023-01-18,4.3322,4.3322,4.3365322,4.3278678,1000000,4.3322,012/A/NBP/2023
2023-01-19,4.3469,4.3469,4.3512469,4.3425531,1000000,4.3469,013/A/NBP/2023
2023-01-20,4.352,4.352,4.356352,4.347648,1000000,4.352,014/A/NBP/2023
2023-01-23,4.3242,4.3242,4.3285241999999995,4.3198758,1000000,4.3242,015/A/NBP/2023
2023-01-24,4.3341,4.3341,4.3384341,4.3297659,1000000,4.3341,016/A/NBP/2023
2023-01-25,4.3265,4.3265,4.3308265,4.3221735,1000000,4.3265,017/A/NBP/2023
2023-01-26,4.3354,4.3354,4.3397353999999995,4.3310645999999995,1000000,4.3354,018/A/NBP/2023
2023-01-27,4.3252,4.3252,4.329525199999999,4.3208747999999995,1000000,4.3252,019/A/NBP/2023
2023-01-30,4.3258,4.3258,4.330125799999999,4.3214742,1000000,4.3258,020/A/NBP/2023
2023-01-31,4.348,4.348,4.352347999999999,4.343652,1000000,4.348,021/A/NBP/2023
2023-02-01,4.3254,4.3254,4.3297254,4.3210746,1000000,4.3254,022/A/NBP/2023
2023-02-02,4.2803,4.2803,4.2845803,4.276019700000001,1000000,4.2803,023/A/NBP/2023
2023-02-03,4.2928,4.2928,4.297092799999999,4.2885072,1000000,4.2928,024/A/NBP/2023
2023-02-06,4.3833,4.3833,4.3876833,4.3789167,1000000,4.3833,025/A/NBP/2023
2023-02-07,4.4325,4.4325,4.436932499999999,4.4280675,1000000,4.4325,026/A/NBP/2023
